simulation_time,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,model_type,scenario
5.0,0.0,1.9011362870922308,1,0,0,0,0.0,Tradicional,1
10.0,0.0,4.820837023512774,0,0,0,0,0.0,Tradicional,1
15.0,0.0,6.936748135821156,0,0,0,0,0.0,Tradicional,1
20.0,0.0,7.1000439416530385,0,0,0,0,0.0,Tradicional,1
25.0,0.8333333333333334,4.9014202980716695,1,0,0,0,5.0,Tradicional,1
30.0,1.625,5.575384947962621,3,0,0,0,13.0,Tradicional,1
35.0,2.888888888888889,4.444927196633424,3,0,0,0,26.0,Tradicional,1
40.0,4.3,5.488453147141038,4,0,0,0,43.0,Tradicional,1
45.0,5.818181818181818,3.994185194231225,5,0,0,0,64.0,Tradicional,1
50.0,0.7692307692307693,3.8428235028720694,4,0,0,0,10.0,Tradicional,1
55.0,2.0,4.897037279293795,4,0,0,0,28.0,Tradicional,1
60.0,3.8,2.2878808469944483,8,0,0,0,57.0,Tradicional,1
65.0,6.466666666666667,2.1869136942540446,9,0,0,0,97.0,Tradicional,1
70.0,8.875,2.5866482820107106,9,0,0,0,142.0,Tradicional,1
75.0,11.0,3.4457342588113233,9,0,0,0,187.0,Tradicional,1
80.0,12.68421052631579,2.228866737005597,13,0,0,0,241.0,Tradicional,1
85.0,16.05263157894737,1.5897460407962185,13,0,0,0,305.0,Tradicional,1
90.0,18.5,1.9196313514651577,13,0,0,0,370.0,Tradicional,1
95.0,0.2857142857142857,6.131980713123964,2,0,0,0,6.0,Tradicional,1
100.0,0.5714285714285714,5.956987586921969,2,0,0,0,12.0,Tradicional,1
105.0,1.4444444444444444,7.500040823204421,4,0,0,0,26.0,Tradicional,1
110.0,2.3333333333333335,7.298786350257062,4,0,0,0,42.0,Tradicional,1
115.0,3.7058823529411766,5.4700018992827655,5,0,0,0,63.0,Tradicional,1
120.0,5.5,6.197281915560309,5,0,0,0,88.0,Tradicional,1
125.0,7.25,4.190365181174115,7,0,0,0,116.0,Tradicional,1
130.0,9.25,4.147414462924779,7,0,0,0,148.0,Tradicional,1
135.0,10.764705882352942,4.191224337004291,7,0,0,0,183.0,Tradicional,1
140.0,0.4375,4.220953036097862,4,0,0,0,7.0,Tradicional,1
145.0,1.3529411764705883,4.094883303116957,6,0,0,0,23.0,Tradicional,1
150.0,3.1176470588235294,4.702611246930512,6,0,0,0,53.0,Tradicional,1
155.0,5.0,4.276777772845798,7,0,0,0,85.0,Tradicional,1
160.0,6.833333333333333,2.5284595831479786,10,0,0,0,123.0,Tradicional,1
165.0,9.526315789473685,1.773282202913487,14,0,0,0,181.0,Tradicional,1
170.0,12.3,2.5414204378417327,13,0,0,0,246.0,Tradicional,1
175.0,15.75,1.3911092656176898,15,0,0,0,315.0,Tradicional,1
180.0,18.80952380952381,1.7034772697332932,17,0,0,0,395.0,Tradicional,1
185.0,0.30434782608695654,4.019848050388525,4,0,0,0,7.0,Tradicional,1
190.0,0.56,6.019840440415708,3,0,0,0,14.0,Tradicional,1
195.0,1.2083333333333333,4.6182169501984,5,0,0,0,29.0,Tradicional,1
200.0,2.5925925925925926,4.011413198810296,12,0,0,0,70.0,Tradicional,1
205.0,4.444444444444445,4.029937565363798,11,0,0,0,120.0,Tradicional,1
210.0,6.392857142857143,4.157083639527549,13,0,0,0,179.0,Tradicional,1
215.0,6.032258064516129,4.421825834832127,11,0,0,0,187.0,Tradicional,1
220.0,7.40625,4.16933873264961,11,0,0,0,237.0,Tradicional,1
225.0,9.59375,2.6997568347198477,17,0,0,0,307.0,Tradicional,1
230.0,0.6666666666666666,4.311495616601726,6,0,0,0,22.0,Tradicional,1
235.0,1.65625,4.48062658052052,9,0,0,0,53.0,Tradicional,1
240.0,3.2666666666666666,4.179363501244026,11,0,0,0,98.0,Tradicional,1
245.0,5.928571428571429,2.7794380058548636,16,0,0,0,166.0,Tradicional,1
250.0,8.6,2.446424880279856,19,0,0,0,258.0,Tradicional,1
255.0,11.387096774193548,3.2026826222044233,19,0,0,0,353.0,Tradicional,1
260.0,12.885714285714286,2.7894533315304857,21,0,0,0,451.0,Tradicional,1
265.0,15.583333333333334,2.7013097381799636,22,0,0,0,561.0,Tradicional,1
270.0,17.94736842105263,2.0709885764644684,25,0,0,0,682.0,Tradicional,1
275.0,0.4146341463414634,5.407944758792243,6,0,0,0,17.0,Tradicional,1
280.0,1.0512820512820513,6.103577080361335,8,0,0,0,41.0,Tradicional,1
285.0,1.2702702702702702,5.782771295775046,5,0,0,0,47.0,Tradicional,1
290.0,2.026315789473684,5.68430733675556,11,0,0,0,77.0,Tradicional,1
295.0,3.4722222222222223,4.205477394661516,13,0,0,0,125.0,Tradicional,1
300.0,5.2894736842105265,4.522978541866044,18,0,0,0,201.0,Tradicional,1
305.0,7.631578947368421,4.232064300910079,19,0,0,0,290.0,Tradicional,1
310.0,10.971428571428572,3.2477435070651444,20,0,0,0,384.0,Tradicional,1
315.0,14.205882352941176,3.2665046079240905,20,0,0,0,483.0,Tradicional,1
320.0,0.4444444444444444,3.505770457353159,7,0,0,0,16.0,Tradicional,1
325.0,1.5263157894736843,4.475261759309871,11,0,0,0,58.0,Tradicional,1
330.0,3.5526315789473686,2.032347654458364,20,0,0,0,135.0,Tradicional,1
335.0,6.487179487179487,2.467637770030163,25,0,0,0,253.0,Tradicional,1
340.0,9.341463414634147,2.0049406082925136,27,0,0,0,383.0,Tradicional,1
345.0,12.069767441860465,2.136268747245588,29,0,0,0,519.0,Tradicional,1
350.0,15.181818181818182,1.5463817623577731,34,0,0,0,668.0,Tradicional,1
355.0,18.666666666666668,1.2792546953767545,36,0,0,0,840.0,Tradicional,1
360.0,21.659574468085108,1.28544915043351,37,0,0,0,1018.0,Tradicional,1
365.0,0.041666666666666664,4.864324774182762,1,0,0,0,2.0,Tradicional,1
370.0,0.2,5.840446830217939,5,0,0,0,10.0,Tradicional,1
375.0,0.75,5.56997088259052,10,0,0,0,39.0,Tradicional,1
380.0,1.7818181818181817,4.597518029198699,18,0,0,0,98.0,Tradicional,1
385.0,3.152542372881356,4.686891063409374,22,0,0,0,186.0,Tradicional,1
390.0,4.85,3.833555244049736,25,0,0,0,291.0,Tradicional,1
395.0,7.084745762711864,3.4990517615815677,29,0,0,0,418.0,Tradicional,1
400.0,8.890625,2.8167364937384773,34,0,0,0,569.0,Tradicional,1
405.0,11.5,2.4061946697360046,38,0,0,0,736.0,Tradicional,1
410.0,0.6060606060606061,3.7111005759655953,12,0,0,0,40.0,Tradicional,1
415.0,1.4927536231884058,3.79262125633975,21,0,0,0,103.0,Tradicional,1
420.0,3.246153846153846,3.6727890664767746,26,0,0,0,211.0,Tradicional,1
425.0,5.117647058823529,3.6010844301045126,30,0,0,0,348.0,Tradicional,1
430.0,7.6521739130434785,2.430133029235817,42,0,0,0,528.0,Tradicional,1
435.0,10.277777777777779,1.728564105202867,49,0,0,0,740.0,Tradicional,1
440.0,13.386666666666667,1.3587114939071747,58,0,0,0,1004.0,Tradicional,1
445.0,16.481012658227847,1.2020368640881196,61,0,0,0,1302.0,Tradicional,1
450.0,19.53012048192771,1.1099950471924656,66,0,0,0,1621.0,Tradicional,1
455.0,0.28735632183908044,3.691540707925956,12,0,0,0,25.0,Tradicional,1
460.0,1.0227272727272727,4.9832035215188,19,0,0,0,90.0,Tradicional,1
465.0,1.4838709677419355,4.609432179100094,26,0,0,0,138.0,Tradicional,1
470.0,2.6736842105263157,3.992098849919289,36,0,0,0,254.0,Tradicional,1
475.0,4.905263157894737,3.1065313766628098,51,0,0,0,466.0,Tradicional,1
480.0,6.869565217391305,3.2576386758799236,45,0,0,0,632.0,Tradicional,1
485.0,8.284210526315789,3.00123334252369,49,0,0,0,787.0,Tradicional,1
490.0,10.11111111111111,2.851106564342263,53,0,0,0,1001.0,Tradicional,1
495.0,10.707070707070708,2.3126864809867964,53,0,0,0,1060.0,Tradicional,1
500.0,0.6161616161616161,3.5347389195770984,18,0,0,0,61.0,Tradicional,1
505.0,2.1739130434782608,3.755801796731453,35,0,0,0,200.0,Tradicional,1
510.0,4.50561797752809,2.7772061161681214,47,0,0,0,401.0,Tradicional,1
515.0,7.336956521739131,2.2275131637642893,60,0,0,0,675.0,Tradicional,1
520.0,10.34375,1.7085304970154542,70,0,0,0,993.0,Tradicional,1
525.0,13.83673469387755,1.2898025250177119,78,0,0,0,1356.0,Tradicional,1
530.0,16.701923076923077,1.337891982386751,80,0,0,0,1737.0,Tradicional,1
535.0,20.349056603773583,0.6460128781664478,92,0,0,0,2157.0,Tradicional,1
540.0,23.666666666666668,0.4177684475983349,99,0,0,0,2627.0,Tradicional,1
545.0,3.1551724137931036,2.421767331924925,35,0,0,0,366.0,Tradicional,1
550.0,1.663716814159292,4.290461197631363,32,0,0,0,188.0,Tradicional,1
555.0,1.5523809523809524,3.50323470259567,26,0,0,0,163.0,Tradicional,1
560.0,1.7821782178217822,3.3445045737147128,33,0,0,0,180.0,Tradicional,1
5.0,0.0,8.978827143367381,0,0,0,0,0.0,Tradicional,2
10.0,0.3333333333333333,3.0218770320496646,2,0,0,0,1.0,Tradicional,2
15.0,1.5,2.3188648801361396,1,0,0,0,6.0,Tradicional,2
20.0,2.2,4.713523458629212,1,0,0,0,11.0,Tradicional,2
25.0,3.1666666666666665,3.4685645921035473,2,0,0,0,19.0,Tradicional,2
30.0,3.625,3.317259185033962,3,0,0,0,29.0,Tradicional,2
35.0,4.333333333333333,5.189962057768558,2,0,0,0,39.0,Tradicional,2
40.0,5.666666666666667,4.152018301599788,4,0,0,0,51.0,Tradicional,2
45.0,7.888888888888889,2.811943447733805,4,0,0,0,71.0,Tradicional,2
50.0,0.6363636363636364,4.833669629972655,3,0,0,0,7.0,Tradicional,2
55.0,2.0,5.997645074952829,4,0,0,0,24.0,Tradicional,2
60.0,3.75,3.2643445448830293,5,0,0,0,45.0,Tradicional,2
65.0,6.166666666666667,3.8028357180523513,6,0,0,0,74.0,Tradicional,2
70.0,8.384615384615385,2.033610912701749,9,0,0,0,109.0,Tradicional,2
75.0,11.461538461538462,2.0829594988221567,8,0,0,0,149.0,Tradicional,2
80.0,14.76923076923077,1.7604470684271982,9,0,0,0,192.0,Tradicional,2
85.0,16.0,1.0223723954650867,11,0,0,0,240.0,Tradicional,2
90.0,19.6,1.4872745232900177,11,0,0,0,294.0,Tradicional,2
95.0,0.125,5.410425456485447,1,0,0,0,2.0,Tradicional,2
100.0,0.6470588235294118,6.39047310471753,2,0,0,0,11.0,Tradicional,2
105.0,1.7058823529411764,5.420472725965324,7,0,0,0,29.0,Tradicional,2
110.0,3.388888888888889,3.6368793791600007,7,0,0,0,61.0,Tradicional,2
115.0,6.176470588235294,3.843214498373885,9,0,0,0,105.0,Tradicional,2
120.0,9.117647058823529,2.8245862513711426,10,0,0,0,155.0,Tradicional,2
125.0,13.375,1.1876777753796652,13,0,0,0,214.0,Tradicional,2
130.0,15.5,1.477754249414106,13,0,0,0,279.0,Tradicional,2
135.0,18.210526315789473,1.7583938634079104,14,0,0,0,346.0,Tradicional,2
140.0,0.10526315789473684,6.286672022836025,1,0,0,0,2.0,Tradicional,2
145.0,0.4444444444444444,5.050642025051738,3,0,0,0,8.0,Tradicional,2
150.0,1.3888888888888888,5.350120097136756,5,0,0,0,25.0,Tradicional,2
155.0,2.789473684210526,4.860672586858805,7,0,0,0,53.0,Tradicional,2
160.0,5.764705882352941,2.5519018911616023,11,0,0,0,98.0,Tradicional,2
165.0,7.684210526315789,2.3241051101646444,11,0,0,0,146.0,Tradicional,2
170.0,11.61111111111111,1.2776939888313983,13,0,0,0,209.0,Tradicional,2
175.0,14.68421052631579,1.255657057038305,14,0,0,0,279.0,Tradicional,2
180.0,18.57894736842105,1.3240083531754039,15,0,0,0,353.0,Tradicional,2
185.0,0.36363636363636365,4.295153620789452,6,0,0,0,8.0,Tradicional,2
190.0,1.0,4.7682922662006355,4,0,0,0,22.0,Tradicional,2
195.0,1.7391304347826086,4.9214257815137135,6,0,0,0,40.0,Tradicional,2
200.0,3.3181818181818183,4.60029184071528,8,0,0,0,73.0,Tradicional,2
205.0,4.166666666666667,3.8884374282922987,9,0,0,0,100.0,Tradicional,2
210.0,5.423076923076923,4.363571449208907,10,0,0,0,141.0,Tradicional,2
215.0,6.642857142857143,5.076637142857221,10,0,0,0,186.0,Tradicional,2
220.0,8.357142857142858,4.529756982017786,10,0,0,0,234.0,Tradicional,2
225.0,9.931034482758621,3.9977268463950852,11,0,0,0,288.0,Tradicional,2
230.0,0.6428571428571429,4.386988298504224,5,0,0,0,18.0,Tradicional,2
235.0,1.8148148148148149,5.346596330237965,8,0,0,0,49.0,Tradicional,2
240.0,3.4482758620689653,3.797746276140254,14,0,0,0,100.0,Tradicional,2
245.0,5.7,3.2521038202425254,15,0,0,0,171.0,Tradicional,2
250.0,7.90625,2.870138228447108,19,0,0,0,253.0,Tradicional,2
255.0,10.8125,1.8750071443441396,20,0,0,0,346.0,Tradicional,2
260.0,13.205882352941176,2.6618974742151527,22,0,0,0,449.0,Tradicional,2
265.0,16.057142857142857,1.7360106679703118,25,0,0,0,562.0,Tradicional,2
270.0,18.07894736842105,1.3602456667841105,26,0,0,0,687.0,Tradicional,2
275.0,0.1,4.8031760313766325,2,0,0,0,4.0,Tradicional,2
280.0,0.25,5.601165762253141,6,0,0,0,10.0,Tradicional,2
285.0,0.5945945945945946,5.662817998915306,5,0,0,0,22.0,Tradicional,2
290.0,1.4210526315789473,5.159858090106384,8,0,0,0,54.0,Tradicional,2
295.0,2.7027027027027026,4.252273457460737,11,0,0,0,100.0,Tradicional,2
