simulation_time,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,model_type,scenario
5.0,0.0,1.8694097486324608,1,0,0,0,0.0,Tradicional,1
10.0,0.0,4.579922855676465,0,0,0,0,0.0,Tradicional,1
15.0,0.0,6.1239298039410945,0,0,0,0,0.0,Tradicional,1
20.0,0.0,6.368367942861343,0,0,0,0,0.0,Tradicional,1
25.0,0.8333333333333334,5.302208041029724,1,0,0,0,5.0,Tradicional,1
30.0,1.75,5.349537086253727,3,0,0,0,14.0,Tradicional,1
35.0,2.888888888888889,4.996818481327607,3,0,0,0,26.0,Tradicional,1
40.0,4.3,5.178488264249488,4,0,0,0,43.0,Tradicional,1
45.0,5.818181818181818,4.5730947611224995,5,0,0,0,64.0,Tradicional,1
50.0,0.6923076923076923,3.698129753636041,3,0,0,0,9.0,Tradicional,1
55.0,2.0,4.476472428849218,5,0,0,0,28.0,Tradicional,1
60.0,3.7333333333333334,2.5077355634543035,8,0,0,0,56.0,Tradicional,1
65.0,6.4,2.572041835880795,8,0,0,0,96.0,Tradicional,1
70.0,8.8125,2.473736406761,9,0,0,0,141.0,Tradicional,1
75.0,10.941176470588236,3.6663380751748584,9,0,0,0,186.0,Tradicional,1
80.0,12.526315789473685,2.520216456722484,13,0,0,0,238.0,Tradicional,1
85.0,15.842105263157896,1.557194179998653,13,0,0,0,301.0,Tradicional,1
90.0,18.35,1.6931771514484428,14,0,0,0,367.0,Tradicional,1
95.0,0.3333333333333333,5.835987471187583,2,0,0,0,7.0,Tradicional,1
100.0,0.6666666666666666,5.759468103598552,2,0,0,0,14.0,Tradicional,1
105.0,1.4,6.933321352710017,4,0,0,0,28.0,Tradicional,1
110.0,2.388888888888889,7.502855943787107,3,0,0,0,43.0,Tradicional,1
115.0,3.5555555555555554,6.233963070546221,5,0,0,0,64.0,Tradicional,1
120.0,5.5625,6.3197599558073465,5,0,0,0,89.0,Tradicional,1
125.0,7.25,3.928341879532346,7,0,0,0,116.0,Tradicional,1
130.0,8.764705882352942,4.381675848399704,7,0,0,0,149.0,Tradicional,1
135.0,11.5,3.7320954574512903,7,0,0,0,184.0,Tradicional,1
140.0,0.5,4.843296156285474,3,0,0,0,8.0,Tradicional,1
145.0,1.3529411764705883,4.143389003962648,5,0,0,0,23.0,Tradicional,1
150.0,3.1176470588235294,4.870493276240743,6,0,0,0,53.0,Tradicional,1
155.0,5.25,4.398602331914551,7,0,0,0,84.0,Tradicional,1
160.0,7.117647058823529,2.5185747267247187,9,0,0,0,121.0,Tradicional,1
165.0,9.526315789473685,2.076241519002153,14,0,0,0,181.0,Tradicional,1
170.0,12.3,2.4154285770586754,13,0,0,0,246.0,Tradicional,1
175.0,15.7,2.1858447747511507,14,0,0,0,314.0,Tradicional,1
180.0,18.666666666666668,1.1681548279463958,17,0,0,0,392.0,Tradicional,1
185.0,0.36363636363636365,3.956934466023915,4,0,0,0,8.0,Tradicional,1
190.0,0.6521739130434783,6.185263246268064,2,0,0,0,15.0,Tradicional,1
195.0,1.12,5.135442958944022,4,0,0,0,28.0,Tradicional,1
200.0,2.5555555555555554,4.714138747250944,11,0,0,0,69.0,Tradicional,1
205.0,4.392857142857143,4.23960650535203,12,0,0,0,123.0,Tradicional,1
