step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,1.7133602074463852,0,0.0,1.0,0,0.0,1.0,0,0.0,0.18471616952106848,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.05579326918864986,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,3.8151786299131345,0,0.0,1.0,0,0.0,0.21809530664788127,0,0.0,0.24747117490956203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4147122390896528,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,4.028595380614827,0,0.0,1.0,0,0.0,0.4211000930121525,1,2.0,0.17281360599288606,0,0.0,0.4543525641885647,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6983730496657686,0,0.0,1.0,1,2.0
20.0,4,12.0,1.3333333333333333,2.7280935197520453,0,0.0,1.0,1,2.0,0.002074835010232509,1,7.0,0.006336716459085077,0,0.0,0.0502525883721603,0,0.0,1.0,0,0.0,0.0861572788914402,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,3.0,0.00043963103840131973,0,0.0,1.0,4,12.0
25.0,2,4.0,0.36363636363636365,3.7704871588345052,0,0.0,1.0,0,0.0,0.6004873326820012,0,2.0,0.2285807845877759,1,4.0,0.3697286431748416,0,0.0,1.0,0,0.0,0.3700682376287888,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2678687693265041,0,0.0,1.0,1,6.0
30.0,3,10.0,0.7692307692307693,3.7419002212464956,0,0.0,0.42699934672327405,1,0.0,0.17494702661572362,0,0.0,0.29589987222705383,2,10.0,0.0017716099735269944,0,0.0,1.0,0,2.0,0.1929226618029859,0,0.0,1.0,0,0.0,1.0,0,2.0,0.569088661461615,0,0.0,0.5346138040028706,0,0.0,1.0,3,14.0
35.0,6,27.0,1.8,3.422332161618218,0,0.0,0.3583584644096795,1,3.0,0.2698132408059831,1,3.0,0.00018542515968296528,2,20.0,0.0,0,2.0,0.17530945606437254,0,2.0,0.564464308717788,0,0.0,1.0,0,0.0,1.0,1,2.0,0.447237390683359,1,1.0,0.12265412553826589,0,0.0,1.0,6,33.0
40.0,3,6.0,0.375,4.979046322239615,1,4.0,0.26642522629342513,1,1.0,0.2475341235087496,0,0.0,1.0,0,0.0,1.0,0,2.0,0.4399357392806093,1,5.0,0.0001799931378762795,0,0.0,1.0,0,0.0,1.0,0,0.0,0.40048376039227235,0,0.0,0.6060955660198707,0,0.0,1.0,3,12.0
45.0,3,14.0,0.875,6.222990686363872,0,0.0,1.0,1,6.0,3.883691080571427e-05,1,0.0,0.0,0,0.0,1.0,0,2.0,0.9406502428052631,1,12.0,0.44092120986057903,0,4.0,0.5997726294791674,0,0.0,0.23457770878144418,0,0.0,0.4319782426836268,0,0.0,0.6103092070001511,0,0.0,1.0,3,24.0
50.0,3,14.0,0.875,5.757033034033801,0,0.0,0.27988057611989925,1,11.0,0.0,0,0.0,0.7324031559271656,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,5.0,0.18747955564202234,0,0.0,0.8890286108641104,0,0.0,0.39708341181656326,0,0.0,0.5444600762435416,0,0.0,1.0,3,16.0
55.0,4,29.0,1.8125,4.960013986148007,0,0.0,0.5538823464979521,1,18.0,0.37087422845323054,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3028506691539469,2,11.0,0.0413988552885866,0,0.0,0.007318534496591008,1,6.0,0.23982330327889337,0,0.0,0.4949631321759871,0,0.0,0.9289244409957327,4,35.0
60.0,6,46.0,2.4210526315789473,5.030924679532599,1,1.0,0.5232646967838374,1,21.0,0.0,1,0.0,0.0,0,0.0,0.26742275564615337,0,0.0,1.0,0,0.0,1.0,2,21.0,0.16154806736441005,1,5.0,0.0,0,2.0,0.6436704990132434,0,0.0,0.21609201472667564,0,0.0,0.9500938240503358,6,50.0
65.0,7,66.0,3.473684210526316,5.347258518688328,2,8.0,8.539902854535233e-05,1,26.0,0.05992534840457231,0,0.0,0.35330133345710657,0,0.0,0.7372065388215767,1,0.0,0.6269330835485454,0,2.0,0.4254196183643387,3,34.0,3.805722484984331e-05,0,0.0,1.0,0,0.0,0.829147946290419,0,0.0,0.49839980095675174,0,0.0,0.9475395261010303,7,70.0
70.0,2,3.0,0.15,4.384769677770753,0,0.0,1.0,0,0.0,0.44358509368434457,0,2.0,0.3852056261082167,0,2.0,0.1801268612652729,1,0.0,0.42920719898904297,0,2.0,0.22451046527348173,0,21.0,0.08489024978857768,0,0.0,1.0,0,0.0,1.0,1,3.0,0.25971350430177204,0,0.0,1.0,2,30.0
75.0,3,5.0,0.25,5.229438775481823,0,0.0,0.11796638939199922,0,0.0,0.24823042545391064,1,5.0,0.2025947052810331,0,2.0,0.6219497974203128,0,0.0,0.37159862182191067,1,4.0,0.20835255717168144,0,7.0,0.3739580077009129,0,0.0,1.0,0,0.0,1.0,0,0.0,0.776120329779689,0,0.0,1.0,2,18.0
80.0,6,17.0,0.8947368421052632,4.033262471827961,0,0.0,0.3979183332213848,0,0.0,1.0,1,8.0,0.3133167094861492,0,0.0,0.42764017083467765,3,6.0,0.00022247973749606957,1,2.0,0.0006212427242864549,0,0.0,0.9068921205931049,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,16.0
85.0,4,36.0,2.0,4.50937314723056,0,0.0,0.27734250924502213,0,2.0,0.7010374815055077,1,16.0,0.33235131388339156,0,2.0,0.46751874527909454,2,18.0,0.1748875889009729,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,45.0
90.0,3,27.0,1.4210526315789473,4.724948100761622,0,1.0,0.2268539493745647,0,0.0,0.18595487182095108,0,2.0,0.6583289643086438,0,2.0,0.4383491939440707,3,31.0,0.17657762831107474,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.48190927051021004,3,38.0
95.0,3,42.0,2.1,5.496992224251232,0,0.0,0.6023993588179961,0,2.0,0.5347167423005387,0,1.0,0.34678190598239056,0,0.0,0.45813554449468513,3,44.0,0.07584949010873974,0,0.0,0.19062338419210814,0,0.0,1.0,0,0.0,0.9432583694730873,0,0.0,1.0,0,0.0,1.0,0,2.0,0.15514459441584733,3,49.0
100.0,1,5.0,0.23809523809523808,6.846705748174613,0,0.0,0.9011708041235301,0,2.0,0.5058821048791805,0,1.0,0.6080774559043272,0,0.0,1.0,0,29.0,0.3365973136481278,0,0.0,0.44008632825977556,0,0.0,0.6545571474646488,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.15124921233274738,1,39.0
105.0,6,19.0,0.9047619047619048,5.2760242774746695,0,0.0,0.8430048299345534,1,6.0,0.2511413944715508,4,6.0,0.0030058866635216813,0,0.0,0.0759801698565591,0,0.0,0.6173348994697961,0,0.0,0.018974118894001944,0,0.0,0.26646083808265697,0,2.0,0.8036881920151562,0,0.0,1.0,0,0.0,0.976707168330686,1,12.0,0.3945067458435252,6,26.0
