step,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,episode,step_in_episode,total_reward
5.0,0.0,2.2194905973155983,0,0,0,0,0.0,1,0,0.0
10.0,0.0,4.577710365568055,0,0,0,0,0.0,1,1,0.0
15.0,0.2857142857142857,4.095651983140473,2,0,0,0,2.0,1,2,-0.02
20.0,1.3333333333333333,4.0021453445437265,4,0,0,0,12.0,1,3,-0.1
25.0,2.909090909090909,3.3998204118289057,5,0,0,0,32.0,1,4,-0.2
30.0,4.153846153846154,3.756128335970732,6,0,0,0,54.0,1,5,-0.22000000000000003
35.0,5.785714285714286,4.375171931928219,7,0,0,0,81.0,1,6,-0.26999999999999996
40.0,7.533333333333333,3.8765288006159224,8,0,0,0,113.0,1,7,-0.31999999999999995
45.0,9.4375,2.8401559543745667,9,0,0,0,151.0,1,8,-0.36
50.0,0.3333333333333333,4.814143241595327,3,0,0,0,6.0,1,9,1.1599999999999997
55.0,1.4736842105263157,4.730042143975922,5,0,0,0,28.0,1,10,0.05000000000000002
60.0,3.15,3.0745523907315673,9,0,0,0,63.0,1,11,-0.35
65.0,5.9523809523809526,1.162282650362125,15,0,0,0,125.0,1,12,-0.62
70.0,8.73913043478261,1.5682558529097639,17,0,0,0,201.0,1,13,-0.76
75.0,11.791666666666666,1.5270441205100713,18,0,0,0,283.0,1,14,-0.8200000000000002
80.0,14.76,1.300773887352076,19,0,0,0,369.0,1,15,-0.8599999999999999
85.0,17.11111111111111,1.1473909610470001,19,0,0,0,462.0,1,16,-0.9299999999999999
90.0,19.517241379310345,1.268704133830177,21,0,0,0,566.0,1,17,-1.04
95.0,0.1935483870967742,6.315600333187449,2,0,0,0,6.0,1,18,4.95
100.0,0.5172413793103449,6.766604892915463,3,0,0,0,15.0,1,19,0.25
105.0,1.3870967741935485,5.811308992137403,8,0,0,0,43.0,1,20,-0.020000000000000004
110.0,2.935483870967742,5.603418710105033,13,0,0,0,91.0,1,21,-0.45
115.0,5.884615384615385,3.213247908597086,15,0,0,0,153.0,1,22,-0.5900000000000001
120.0,8.148148148148149,2.764021107010009,16,0,0,0,220.0,1,23,-0.61
125.0,11.185185185185185,1.8004345467494018,17,0,0,0,302.0,1,24,-0.84
130.0,14.25,2.0595078669158697,20,0,0,0,399.0,1,25,-0.9500000000000001
135.0,17.714285714285715,1.0283329917566904,21,0,0,0,496.0,1,26,-0.99
140.0,0.13333333333333333,4.517401837794005,1,0,0,0,4.0,1,27,3.63
145.0,0.5862068965517241,6.628170787133795,3,0,0,0,17.0,1,28,1.02
150.0,1.52,4.494235920856792,8,0,0,0,38.0,1,29,-0.12
155.0,3.2,3.0548378135879313,11,0,0,0,80.0,1,30,-0.42000000000000004
160.0,5.64,3.217700364193974,13,0,0,0,141.0,1,31,-0.6100000000000001
165.0,8.384615384615385,2.478233996173716,16,0,0,0,218.0,1,32,-0.7699999999999999
170.0,11.807692307692308,1.544181588478222,19,0,0,0,307.0,1,33,-0.8899999999999999
175.0,14.428571428571429,1.6416198242361468,21,0,0,0,404.0,1,34,-0.9700000000000002
180.0,17.586206896551722,1.2338180157455292,22,0,0,0,510.0,1,35,-1.06
185.0,0.1875,3.6250869350814323,3,0,0,0,6.0,1,36,3.54
190.0,0.5555555555555556,5.469615884090078,5,0,0,0,20.0,1,37,0.9299999999999999
195.0,1.4705882352941178,4.504444015888282,11,0,0,0,50.0,1,38,-2.7755575615628914e-17
200.0,2.972972972972973,3.7999435655998424,15,0,0,0,110.0,1,39,-0.37999999999999995
205.0,4.341463414634147,4.5191509140470485,16,0,0,0,178.0,1,40,-0.64
210.0,6.285714285714286,3.766986779957127,20,0,0,0,264.0,1,41,-0.8900000000000001
215.0,8.159090909090908,4.136957395119112,19,0,0,0,359.0,1,42,-0.8699999999999999
220.0,9.642857142857142,3.291897241339231,20,0,0,0,405.0,1,43,-0.9
225.0,11.681818181818182,2.506602553128533,27,0,0,0,514.0,1,44,-1.0899999999999999
230.0,0.3111111111111111,3.739328018502234,7,0,0,0,14.0,1,45,3.4899999999999998
235.0,1.4772727272727273,4.394955227935025,13,0,0,0,65.0,1,46,0.6099999999999999
240.0,2.96,2.9137854325724235,23,0,0,0,148.0,1,47,-0.7100000000000002
245.0,5.775510204081633,2.1605463401070204,29,0,0,0,283.0,1,48,-1.3499999999999999
250.0,9.1875,2.242199728060997,34,0,0,0,441.0,1,49,-1.58
255.0,12.058823529411764,1.6452917097526212,38,0,0,0,615.0,1,50,-1.74
260.0,14.618181818181819,1.245498530312161,39,0,0,0,804.0,1,51,-1.8900000000000006
265.0,17.736842105263158,1.200648365181611,43,0,0,0,1011.0,1,52,-2.0700000000000003
270.0,20.716666666666665,0.8340080256982163,50,0,0,0,1243.0,1,53,-2.3200000000000003
275.0,0.09523809523809523,3.373240415451022,2,0,0,0,6.0,1,54,8.17
280.0,0.515625,6.09126196959921,8,0,0,0,33.0,1,55,3.8100000000000005
285.0,1.2372881355932204,5.749926558912876,14,0,0,0,73.0,1,56,-0.0499999999999999
290.0,1.8888888888888888,4.060908544978414,19,0,0,0,102.0,1,57,-0.8400000000000001
295.0,3.9056603773584904,3.596584539031909,24,0,0,0,207.0,1,58,-1.04
300.0,6.708333333333333,3.112394762634421,24,0,0,0,322.0,1,59,-0.6499999999999999
305.0,9.183673469387756,2.537719667515162,28,0,0,0,450.0,1,60,-0.9500000000000003
310.0,12.340425531914894,2.6019911092561423,27,0,0,0,580.0,1,61,-1.3299999999999998
315.0,14.816326530612244,1.7015775974202203,32,0,0,0,726.0,1,62,-1.4499999999999997
320.0,0.8076923076923077,3.753259741075451,8,0,0,0,42.0,1,63,4.4399999999999995
325.0,1.5818181818181818,5.0950431529516305,12,0,0,0,87.0,1,64,1.34
330.0,3.1875,3.890511277551827,16,0,0,0,153.0,1,65,-0.37
335.0,4.938775510204081,3.7358185012312406,21,0,0,0,242.0,1,66,-0.61
340.0,7.659574468085107,2.199008711896439,27,0,0,0,360.0,1,67,-1.24
345.0,10.208333333333334,1.9038488343526536,31,0,0,0,490.0,1,68,-1.4000000000000001
350.0,14.152173913043478,1.1562176833424047,35,0,0,0,651.0,1,69,-1.2899999999999996
355.0,16.352941176470587,1.1249427507648178,41,0,0,0,834.0,1,70,-1.8400000000000003
360.0,18.228070175438596,0.982817941801815,43,0,0,0,1039.0,1,71,-2.0500000000000003
5.0,0.0,2.2194905973155983,0,0,0,0,0.0,2,0,0.0
10.0,0.0,4.577710365568055,0,0,0,0,0.0,2,1,0.0
15.0,0.2857142857142857,4.095651983140473,2,0,0,0,2.0,2,2,-0.02
20.0,1.3333333333333333,4.0021453445437265,4,0,0,0,12.0,2,3,-0.1
25.0,2.909090909090909,3.3998204118289057,5,0,0,0,32.0,2,4,-0.2
30.0,4.153846153846154,3.756128335970732,6,0,0,0,54.0,2,5,-0.22000000000000003
35.0,5.785714285714286,4.375171931928219,7,0,0,0,81.0,2,6,-0.26999999999999996
