step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,2.2194905973155983,0,0.0,1.0,0,0.0,1.0,0,0.0,0.27679848632268395,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.06575903468070514,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.577710365568055,0,0.0,1.0,0,0.0,0.3170048586095066,0,0.0,0.33382406097909784,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.42385393334844795,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,4.095651983140473,0,0.0,1.0,0,0.0,0.2936376170387144,1,2.0,0.26719563539251845,0,0.0,0.623704534643222,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0
20.0,4,12.0,1.3333333333333333,4.0021453445437265,0,0.0,1.0,1,4.0,0.00012652039609757377,2,8.0,0.0004379399961259415,0,0.0,0.014623695876823812,0,0.0,1.0,0,0.0,0.12652824914001826,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7878978356077188,1,0.0,0.0,0,0.0,1.0,4,12.0
25.0,5,32.0,2.909090909090909,3.3998204118289057,0,0.0,1.0,1,9.0,0.31451232064489376,2,18.0,0.16060395774901334,1,5.0,0.33602206180876293,0,0.0,1.0,0,0.0,0.4569208198299145,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3014298879344521,0,0.0,1.0,4,32.0
30.0,6,54.0,4.153846153846154,3.756128335970732,0,0.0,0.49964564782483917,2,14.0,0.0,2,28.0,0.0,2,12.0,0.0006730876921814535,0,0.0,0.3230864312999063,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4975964537389601,0,0.0,1.0,6,54.0
35.0,7,81.0,5.785714285714286,4.375171931928219,0,0.0,1.0,1,19.0,0.14842696435591937,2,38.0,0.0,2,22.0,0.0,0,0.0,0.7812592894625895,0,0.0,0.6815014638529345,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,2.0,0.16895524685025665,0,0.0,1.0,7,81.0
40.0,8,113.0,7.533333333333333,3.8765288006159224,0,0.0,1.0,1,24.0,0.0,2,48.0,0.0,2,32.0,0.0,0,0.0,1.0,1,2.0,0.001194124400480586,1,0.0,0.0,0,0.0,0.962178002865903,0,0.0,0.4927333272629325,1,7.0,0.3844152442977821,0,0.0,1.0,8,113.0
45.0,9,151.0,9.4375,2.8401559543745667,0,0.0,1.0,1,29.0,0.48614112972889684,3,58.0,0.0,2,42.0,0.0,0,0.0,1.0,1,5.0,0.0,0,0.0,0.3951727851612809,0,0.0,0.17095957332922124,0,0.0,0.5174150330287289,2,15.0,6.168984503636502e-05,0,0.0,1.0,9,149.0
50.0,3,6.0,0.3333333333333333,4.814143241595327,0,0.0,0.32065851014351326,1,1.0,0.005843401412689506,0,27.0,0.5460998797248535,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,0.49628315755737384,1,5.0,0.2304735688230649,0,0.0,0.3588312164951028,0,0.0,0.1655254559579099,0,0.0,1.0,3,33.0
55.0,5,28.0,1.4736842105263157,4.730042143975922,0,0.0,0.5414694004330093,1,6.0,0.24877315903714936,1,2.0,0.0026779832400612223,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4863261269065533,1,5.0,0.047092741708549365,1,10.0,0.0,1,5.0,0.32530354965079356,0,0.0,0.4556626485958895,0,0.0,1.0,5,28.0
60.0,9,63.0,3.15,3.0745523907315673,1,1.0,0.40774051614333123,1,11.0,0.2777720931789324,2,7.0,0.0,0,0.0,0.2912834059281489,0,0.0,1.0,0,0.0,0.018335373471103464,3,19.0,0.1012358366321416,1,15.0,0.0,1,10.0,0.004575180422531174,0,0.0,0.13695722202968338,0,0.0,0.970585911508603,9,63.0
65.0,15,125.0,5.9523809523809526,1.162282650362125,2,9.0,0.09691750553854352,1,16.0,0.06711805757713904,1,12.0,0.19869421036866372,0,0.0,0.395042882917504,1,0.0,0.0,1,5.0,1.93802568571699e-05,4,37.0,0.0,1,20.0,0.0,2,20.0,6.513480826035342e-06,1,5.0,0.15659650180899568,1,1.0,0.004046275986677679,15,125.0
70.0,17,201.0,8.73913043478261,1.5682558529097639,2,19.0,0.0973123382067889,1,21.0,0.2682996295798671,1,17.0,0.36379282278064345,1,2.0,0.00025851278986661154,1,0.0,0.31127706498845137,1,10.0,0.07653416802309254,4,57.0,0.0,1,25.0,0.0,2,30.0,0.0,2,14.0,2.3702686418525164e-05,1,6.0,0.0,17,201.0
75.0,18,283.0,11.791666666666666,1.5270441205100713,2,29.0,0.026389484171505263,2,28.0,0.1897100785330327,1,22.0,0.077266709909716,1,7.0,0.0,0,0.0,0.6752691320063082,1,15.0,0.2630580784918385,4,77.0,0.0,1,30.0,0.3105094339902025,2,40.0,0.0,2,24.0,0.0,1,11.0,0.0,17,283.0
80.0,19,369.0,14.76,1.300773887352076,2,39.0,0.1237721186849728,2,38.0,0.0,1,27.0,0.0,1,12.0,0.0,1,0.0,0.0,2,21.0,0.0031789887715491867,4,97.0,0.0,1,35.0,0.32257012112119976,2,50.0,0.0,2,34.0,0.0,1,16.0,0.0,19,369.0
85.0,19,462.0,17.11111111111111,1.1473909610470001,2,49.0,0.023335123911254505,2,48.0,0.046025021171537096,1,32.0,0.0,1,17.0,0.0,0,0.0,0.3526504198270575,2,31.0,0.0,4,117.0,0.0,2,43.0,0.004103736063877462,2,60.0,0.0,2,44.0,0.0,1,21.0,0.0,19,462.0
90.0,21,566.0,19.517241379310345,1.268704133830177,3,63.0,0.1553279316660447,2,58.0,0.22199841085973904,1,37.0,0.0,1,22.0,0.10943228421154474,0,0.0,0.11815763532498579,2,41.0,0.0,4,137.0,0.0,3,58.0,5.137716472568752e-06,2,70.0,0.0,2,54.0,0.0,1,26.0,0.0,21,566.0
95.0,2,6.0,0.1935483870967742,6.315600333187449,0,0.0,0.63776728575907,0,0.0,0.5346293373103526,0,0.0,0.30863894503392,0,0.0,0.4342382476685612,1,5.0,0.4390860110027116,0,0.0,0.25343337995898896,0,66.0,0.2503168639416952,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8728421598348101,0,0.0,0.7416422220832642,1,71.0
100.0,3,15.0,0.5172413793103449,6.766604892915463,0,0.0,0.3487629803256436,0,0.0,0.60805408615146,0,0.0,0.408573641333255,1,4.0,0.37590962082982354,1,10.0,0.5618987523955064,0,0.0,0.5963203021711745,0,30.0,0.30677820381333054,0,0.0,1.0,0,1.0,0.9261399240727904,0,0.0,1.0,1,1.0,0.1342671961923036,3,46.0
105.0,8,43.0,1.3870967741935485,5.811308992137403,1,3.0,0.30378593145310107,0,0.0,0.2525248515222262,1,6.0,0.17736234465889697,1,9.0,0.19131457385905543,3,20.0,0.3514362093243455,1,1.0,0.005763123738297514,0,0.0,0.33082563834613365,0,0.0,0.982359109195326,0,3.0,0.39421562164724877,0,0.0,0.9458893980792346,1,6.0,0.15328180516451687,8,48.0
110.0,13,91.0,2.935483870967742,5.603418710105033,2,5.0,0.2739448682116906,0,0.0,0.6356067324045156,2,15.0,0.4540080623378646,1,14.0,0.42890291713591056,4,36.0,0.15319160402032284,1,6.0,0.0,0,0.0,0.34675430955313225,0,0.0,0.901915585297753,0,3.0,0.6701894670966323,0,0.0,1.0,2,14.0,0.21092196689207585,12,93.0
115.0,15,153.0,5.884615384615385,3.213247908597086,1,10.0,0.3126774104856483,0,0.0,1.0,3,28.0,0.003948652207767023,2,20.0,0.0008038118709372303,4,56.0,0.13677313088533694,1,11.0,0.0,1,3.0,6.89866475369968e-05,0,0.0,1.0,0,0.0,0.2463890349297566,1,0.0,0.15351782056993202,2,24.0,0.0,15,152.0
120.0,16,220.0,8.148148148148149,2.764021107010009,2,8.0,0.17712301779783138,0,0.0,0.25557834441169547,5,53.0,3.888169797667489e-05,2,30.0,0.0,4,76.0,0.0,1,16.0,0.0,1,8.0,0.15593025918978828,0,0.0,0.3344652512804459,0,0.0,0.544681420014396,0,0.0,0.45176324955682645,1,22.0,0.01049898451728204,16,213.0
125.0,17,302.0,11.185185185185185,1.8004345467494018,1,15.0,0.39994215420481877,0,0.0,0.4674047445284015,5,78.0,0.0,2,40.0,0.0,4,96.0,0.0,1,21.0,0.0,1,13.0,0.00396531807166115,0,0.0,0.643490377963545,1,3.0,0.09925301851780118,0,0.0,0.1867104101138814,2,31.0,4.06767858682528e-05,17,297.0
