episode,total_reward,mean_waiting_time,mean_speed,total_stopped_avg,total_arrived,total_departed
1,-10.310000000000004,6.912737760675016,3.202398486490492,16.944444444444443,0,0
2,-10.310000000000004,6.912737760675016,3.202398486490492,16.944444444444443,0,0
3,-10.310000000000004,6.912737760675016,3.202398486490492,16.944444444444443,0,0
4,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
5,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
6,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
7,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
8,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
9,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
10,-12.179999999999998,7.052626453350368,3.161421707773864,17.63888888888889,0,0
